,image,Metric,yolo_rmse,dualsight_rmse,yolo_pred_mean,dual_pred_mean,yolo_gt_mean,dual_gt_mean,yolo_r2_mean,dual_r2_mean
82,Rec-Cu-Ni-Powder_250x_7_SE_V1:,equivalent_diameter,31.700747684201872,31.144079846755922,66.11723936384496,70.38457345925383,78.02506387767838,77.62570573916706,0.481093424770103,0.49981666754947507
85,Rec-Cu-Ni-Powder_250x_7_SE_V1:,feret_diameter_max,49.221556280875475,50.9390468787992,90.99145309886488,99.36079152279193,108.75474799576463,108.02200037164616,0.39652940734657083,0.35581698057735345
86,Rec-Cu-Ni-Powder_250x_7_SE_V1:,perimeter,189.88857219019576,229.41265596811775,270.5069668676178,313.53688230106263,328.65427841173977,325.6856753668692,0.27091034744223164,-0.061587800715793284
87,Rec-Cu-Ni-Powder_250x_7_SE_V1:,solidity,0.06885721574567417,0.0740116409614318,0.9209043802930443,0.8972912938535673,0.9012200058479126,0.9041484431522889,-0.41949440882386635,-0.6871288187824627
88,Rec-Cu-Ni-Powder_250x_8_SE_V1:,area,3999.735373998573,3688.6268111504564,4923.953488372093,5444.527131782946,6272.84496124031,6174.837209302325,0.37125679982687854,0.4311910446704653
89,Rec-Cu-Ni-Powder_250x_8_SE_V1:,area_convex,5398.784584723497,5598.119635856699,5610.7441860465115,6567.302325581395,7376.434108527132,7249.364341085271,0.2386716955792424,0.11886536172471818
90,Rec-Cu-Ni-Powder_250x_8_SE_V1:,major_axis_length,40.995219722863446,37.902679554828815,98.04331292091615,103.7782267391183,114.56638238242621,113.46359269626969,0.48415227937425076,0.526963662237622
91,Rec-Cu-Ni-Powder_250x_8_SE_V1:,minor_axis_length,23.742474070023928,22.261226975607336,58.90646091230168,62.48119468057602,67.19228127160568,67.00678974878636,0.280634075530959,0.3597444915243172
92,Rec-Cu-Ni-Powder_250x_8_SE_V1:,eccentricity,0.11984060551726942,0.10570467052893899,0.7348797482148925,0.7321376480138738,0.737002278536242,0.7360185328274707,0.5108428454032001,0.6200973170685635
93,Rec-Cu-Ni-Powder_250x_8_SE_V1:,equivalent_diameter,26.29704494426964,24.05484845779048,71.8158632037154,75.66162096876964,82.36934281131533,81.89364272107522,0.42474017939958797,0.4992240140933546
96,Rec-Cu-Ni-Powder_250x_8_SE_V1:,feret_diameter_max,41.10773105279243,38.598320137552925,100.82923975973826,108.0435814251356,118.92793742026076,117.91991472582136,0.5003525687994779,0.532721336582411
97,Rec-Cu-Ni-Powder_250x_8_SE_V1:,perimeter,150.7405094904244,150.03554882632451,296.05395917306487,335.215109652004,353.3938944431195,351.108355499095,0.2601314659504521,0.23754579426083522
98,Rec-Cu-Ni-Powder_250x_8_SE_V1:,solidity,0.07557016346470796,0.06467924960142853,0.912551505174156,0.8847065503921618,0.881233247299653,0.8812687444499978,-0.045077209841281496,0.23426289866639638
99,Rec-Cu-Ni-Powder_250x_9_SE:,area,2738.9979638827494,2555.892949485711,6355.692307692308,6518.615384615385,7225.2307692307695,7225.2307692307695,0.7289465275336311,0.7639756140064266
100,Rec-Cu-Ni-Powder_250x_9_SE:,area_convex,3175.905685482005,2959.7161376362797,7176.384615384615,7464.7692307692305,8321.307692307691,8321.307692307691,0.7640546916713888,0.7950838095434509
101,Rec-Cu-Ni-Powder_250x_9_SE:,major_axis_length,40.283483907415196,36.289269771508,117.54616851353047,118.51923134302987,128.21352839159616,128.21352839159616,0.4547313487270611,0.5575003397687226
102,Rec-Cu-Ni-Powder_250x_9_SE:,minor_axis_length,14.751267244984366,12.997980856527404,66.47204343896067,67.77104644682123,71.27385411750568,71.27385411750568,0.5729896694613434,0.6684633798479197
103,Rec-Cu-Ni-Powder_250x_9_SE:,eccentricity,0.04866793287750434,0.0203033646390084,0.7597623758283009,0.7708543803832796,0.776139186176181,0.776139186176181,0.8757336029476955,0.9783726188186814
104,Rec-Cu-Ni-Powder_250x_9_SE:,equivalent_diameter,22.520223507065626,20.766594135941467,84.22378872046396,85.23388925227718,90.96525548056849,90.96525548056849,0.4515831364674292,0.533667205522526
107,Rec-Cu-Ni-Powder_250x_9_SE:,feret_diameter_max,39.17651817856781,36.015640725851505,120.42209233656965,121.29945834358654,131.3250119845694,131.3250119845694,0.498389091559313,0.5760666407537078
108,Rec-Cu-Ni-Powder_250x_9_SE:,perimeter,104.73611192155329,92.66837811578827,331.0411087343859,349.23901077877275,368.53264768926914,368.53264768926914,0.4855921171162282,0.5973035103292879
109,Rec-Cu-Ni-Powder_250x_9_SE:,solidity,0.03926828839262004,0.00973958666656575,0.9025775485752876,0.8809649147197463,0.8796279771698743,0.8796279771698743,0.3751749798891484,0.9615624656666222
110,S01_03_SE1_500X11:,area,6935.7586241382205,6912.822014570331,14024.666666666666,14416.153846153846,16821.846153846152,16821.846153846152,0.5288239795438794,0.5319351924010021
111,S01_03_SE1_500X11:,area_convex,7581.303739108161,7549.392684013456,14717.71794871795,15110.71794871795,17875.128205128207,17875.128205128207,0.49949978171166054,0.5037043030364439
112,S01_03_SE1_500X11:,major_axis_length,51.75279710336812,50.82349645627698,143.45793828293316,145.96313338819374,164.92653870257163,164.92653870257163,0.18544037844330297,0.21443106266339484
113,S01_03_SE1_500X11:,minor_axis_length,39.30997306562287,37.937903313111676,107.38644888335283,109.51438025582517,122.81268178468349,122.81268178468349,0.2307349466973101,0.28349840468242815
114,S01_03_SE1_500X11:,eccentricity,0.11067806459002075,0.11035962344463977,0.5987136177938321,0.5893086526308401,0.6021449446821905,0.6021449446821905,0.697641888421558,0.6993792652250804
115,S01_03_SE1_500X11:,equivalent_diameter,43.102447055463756,42.07942685463342,121.00770978878877,123.16826846153862,138.35050376932844,138.35050376932844,0.18422806035356964,0.22249258371073455
118,S01_03_SE1_500X11:,feret_diameter_max,55.85238360029406,54.181613272280885,148.7528365327734,151.65359564447922,172.58502072029452,172.58502072029452,0.037080631337975456,0.09382857651647236
119,S01_03_SE1_500X11:,perimeter,182.57007657228021,175.88004156273095,446.99150181374364,448.8239979765259,519.9356825405472,519.9356825405472,0.027328859966299968,0.09730725104494009
120,S01_03_SE1_500X11:,solidity,0.03430323306488274,0.03809473968615896,0.9561430532973321,0.9570684139550403,0.9437403433485971,0.9437403433485971,0.4441557867956376,0.3144912524244924
121,S02_01_SE1_1000X16:,area,4437.862633070114,4121.606341383579,23310.5,24180.333333333332,25111.0,25111.0,0.9697058588387526,0.9738697266210523
122,S02_01_SE1_1000X16:,area_convex,4944.9917172158475,4858.931076721848,24314.291666666668,25329.083333333332,26218.625,26218.625,0.9637730101579888,0.9650229973665158
